"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"1D022",0.14,0.00374,204.8,0.949,0.681,25.2,37.4,9978,203,0.279,0.0507,3.62,5.22,1.57,"T3",0.136,0.00679,421.3,0.962,0.698,37.8,67.6,9953,419,0.34,0.0383,4.21,6.08,1.83
"1D032",0.336,0.00148,116.6,0.848,0.57,8.93,14.8,9998,113,0.307,0.152,2.69,3.88,1.17,"T3",0.27,0.0024,214.4,0.892,0.594,13.2,24,9992,210,0.351,0.108,3.18,4.58,1.38
"1D042",0.173,0.00218,105.4,0.931,0.675,17.1,21.8,9979,96,0.268,0.0687,3.08,4.45,1.34,"T3",0.123,0.00266,143.9,0.941,0.662,19.9,26.5,9958,142,0.231,0.0587,3.28,4.73,1.42
"1G011",0.26,0.00105,99.3,0.847,0.527,7.7,10.5,10007,86,0.356,0.153,2.35,3.39,1.02,"T3",0.222,0.0016,186.2,0.882,0.541,10.5,16.1,10012,170,0.433,0.118,2.78,4.01,1.21
"1G022",0.321,0.00119,96.8,0.846,0.548,8.07,11.9,9994,92,0.333,0.154,2.48,3.57,1.08,"T3",0.25,0.00223,203,0.897,0.592,13.1,22.3,9995,189,0.389,0.103,3.1,4.48,1.35
"1G032",0.331,0.000701,101.4,0.773,0.432,5.04,7.01,10001,91,0.446,0.227,1.95,2.81,0.846,"T3",0.241,0.00135,144.7,0.85,0.524,8.26,13.4,9968,143,0.257,0.15,2.6,3.75,1.13
"1G042",0.197,0.00163,125.8,0.902,0.591,12.1,16.3,10004,112,0.372,0.0978,2.79,4.03,1.21,"T3",0.153,0.00281,205.9,0.933,0.628,18.6,28.1,10005,203,0.309,0.0673,3.34,4.81,1.45
"1P012",0.251,0.00128,94.1,0.866,0.563,9.04,12.7,9989,92,0.312,0.134,2.54,3.67,1.11,"T3",0.229,0.0019,176.8,0.888,0.571,11.7,19,9990,173,0.362,0.112,2.94,4.25,1.28
"1P022",0.161,0.00166,104.8,0.909,0.628,12.8,16.7,10007,88,0.326,0.091,2.81,4.06,1.22,"T3",0.137,0.00247,157.3,0.928,0.643,17.2,24.8,10014,147,0.338,0.0721,3.21,4.63,1.39
"1P032",0.32,0.00092,68.1,0.83,0.533,6.96,9.19,9989,64,0.354,0.17,2.22,3.2,0.963,"T3",0.306,0.00148,119.8,0.866,0.566,9.64,14.8,9977,117,0.263,0.134,2.7,3.89,1.17
"1P042",0.537,0.000574,79,0.672,0.408,3.77,5.73,9990,72,0.411,0.328,1.75,2.52,0.758,"T3",0.533,0.00078,125.3,0.695,0.427,4.37,7.78,9985,122,0.374,0.305,2.05,2.96,0.891
"1S012",0.301,0.000953,78.5,0.828,0.524,6.94,9.52,9998,74,0.36,0.172,2.25,3.25,0.979,"T3",0.293,0.00143,134,0.862,0.545,9.24,14.2,9992,131,0.295,0.138,2.66,3.83,1.15
"1S022",0.284,0.00148,117.8,0.877,0.568,10.2,14.8,10001,115,0.267,0.123,2.69,3.89,1.17,"T3",0.279,0.00218,185.2,0.896,0.592,13.2,21.8,10011,183,0.272,0.104,3.08,4.45,1.34
"1S032",0.376,0.000794,104,0.785,0.46,5.55,7.93,9992,90,0.407,0.215,2.07,2.99,0.899,"T3",0.371,0.00122,169.6,0.823,0.49,7.42,12.2,10000,165,0.44,0.177,2.5,3.61,1.09
"1S042",0.389,0.000884,95,0.798,0.481,6.09,8.83,9989,93,0.34,0.202,2.18,3.14,0.946,"T3",0.383,0.00136,172.1,0.827,0.509,7.92,13.6,9976,169,0.353,0.173,2.61,3.76,1.13
"1W012",0.252,0.00136,87.9,0.875,0.587,9.63,13.6,9986,85,0.198,0.125,2.61,3.76,1.13,"T3",0.213,0.00253,181.8,0.917,0.621,15.9,25.2,9964,180,0.243,0.0827,3.23,4.65,1.4
"1W022",0.362,0.000882,123.1,0.802,0.478,6.09,8.83,10004,95,0.469,0.198,2.18,3.14,0.946,"T3",0.195,0.00161,214,0.896,0.536,11.3,16.1,10015,179,0.511,0.104,2.78,4.01,1.21
