"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"4G01",0.341,0.000682,88.1,0.765,0.447,4.87,6.82,9988,73,0.297,0.235,1.92,2.77,0.834,"T1",0.229,0.00124,107.1,0.862,0.552,8.68,12.4,9988,96,0.34,0.138,2.52,3.63,1.09
"4G02",0.4,0.000666,68,0.759,0.465,4.83,6.66,9994,59,0.283,0.241,1.9,2.73,0.823,"T1",0.325,0.00124,80.1,0.848,0.585,8.39,12.4,9996,74,0.28,0.152,2.52,3.64,1.09
"4G03",0.306,0.000765,78.2,0.798,0.47,5.66,7.65,9993,76,0.273,0.202,2.03,2.93,0.883,"T1",0.226,0.00142,94.1,0.882,0.588,10.2,14.2,9994,91,0.272,0.118,2.65,3.83,1.15
"4G04",0.501,0.000558,80.5,0.687,0.427,3.82,5.57,9989,56,0.246,0.313,1.72,2.48,0.746,"T1",0.417,0.000985,81.1,0.788,0.537,6.18,9.85,9991,71,0.25,0.212,2.29,3.3,0.993
"4P01",0.575,0.000586,88.5,0.647,0.402,3.62,5.85,9992,81,0.378,0.353,1.77,2.55,0.767,"T1",0.565,0.000733,128,0.663,0.413,3.96,7.32,9993,124,0.36,0.337,1.99,2.87,0.865
"4P02",0.544,0.000484,51.9,0.649,0.405,3.38,4.83,9991,49,0.24,0.351,1.58,2.27,0.684,"T1",0.514,0.000666,91.5,0.687,0.426,3.99,6.65,9990,85,0.209,0.313,1.89,2.73,0.823
"4P03",0.667,0.000337,55.5,0.515,0.309,2.38,3.37,9990,51,0.288,0.485,1.21,1.75,0.527,"T1",0.636,0.000487,113.1,0.574,0.351,2.92,4.86,9983,90,0.374,0.426,1.58,2.28,0.686
"4P04",0.376,0.000849,110.9,0.774,0.456,5.44,8.47,9981,108,0.376,0.226,2.14,3.08,0.928,"T1",0.353,0.00119,156,0.808,0.493,6.76,11.9,9985,152,0.353,0.192,2.48,3.58,1.08
"4S01",0.454,0.000588,71.2,0.705,0.426,4.01,5.87,9987,64,0.292,0.295,1.77,2.55,0.769,"T1",0.379,0.000894,106,0.776,0.477,5.56,8.93,9986,98,0.242,0.224,2.19,3.16,0.951
"4S02",0.18,0.00119,100.1,0.875,0.544,9.04,11.8,9990,94,0.368,0.125,2.47,3.57,1.07,"T1",0.179,0.00157,132.1,0.891,0.567,10.9,15.7,9988,128,0.31,0.109,2.75,3.97,1.2
"4S03",0.753,0.000301,74.9,0.419,0.259,2.01,3.01,9992,71,0.347,0.581,1.1,1.59,0.479,"T1",0.676,0.000446,114.3,0.528,0.318,2.62,4.45,9991,109,0.355,0.472,1.49,2.15,0.649
"4S04",0.344,0.00126,128.7,0.839,0.523,7.99,12.6,10006,126,0.346,0.161,2.53,3.65,1.1,"T1",0.338,0.00152,185.2,0.846,0.525,8.69,15.2,10017,180,0.392,0.154,2.72,3.93,1.18
"4W01",0.607,0.000523,107.7,0.607,0.365,3.18,5.22,9987,93,0.404,0.393,1.65,2.38,0.718,"T1",0.517,0.000725,133.3,0.702,0.41,4.3,7.24,9988,125,0.389,0.298,1.98,2.86,0.86
"4W02",0.554,0.000592,85.6,0.651,0.406,3.58,5.92,9989,80,0.247,0.349,1.78,2.57,0.772,"T1",0.468,0.000855,124.7,0.735,0.45,4.87,8.54,9984,118,0.277,0.265,2.14,3.09,0.931
"4W03",0.368,0.00102,119.8,0.81,0.487,6.56,10.2,9990,117,0.28,0.19,2.32,3.35,1.01,"T1",0.311,0.00129,160.9,0.846,0.505,8.14,12.9,9991,159,0.269,0.154,2.56,3.69,1.11
"4W04",0.341,0.00086,121.3,0.798,0.458,5.85,8.6,9994,110,0.342,0.202,2.15,3.1,0.934,"T1",0.28,0.00124,157.7,0.847,0.499,7.98,12.4,9989,154,0.316,0.153,2.52,3.63,1.09
"5D01",0.712,0.000271,50,0.452,0.257,2.05,2.71,9986,48,0.286,0.548,0.997,1.44,0.433,"T1",0.691,0.000347,74.8,0.49,0.293,2.29,3.46,9986,69,0.243,0.51,1.24,1.79,0.54
"5D02",0.613,0.000456,401,0.6,0.366,3.06,4.55,9993,63,0.406,0.4,1.52,2.19,0.658,"T1",0.541,0.000751,96,0.686,0.45,4.23,7.51,10000,88,0.315,0.314,2.02,2.91,0.876
"5D03",0.588,0.000384,59.5,0.587,0.332,2.78,3.83,9985,57,0.31,0.413,1.34,1.94,0.583,"T1",0.559,0.000559,82.4,0.647,0.393,3.5,5.58,9984,79,0.263,0.353,1.72,2.48,0.747
"5D04",0.73,0.000295,56.8,0.443,0.271,2.08,2.94,9988,54,0.345,0.557,1.08,1.56,0.469,"T1",0.711,0.000355,78,0.474,0.292,2.26,3.54,9984,76,0.286,0.526,1.27,1.83,0.549
"5G01",0.395,0.000833,86.8,0.79,0.477,5.78,8.32,9985,85,0.267,0.21,2.12,3.06,0.92,"T1",0.254,0.0014,109,0.883,0.564,10.2,13.9,9987,107,0.296,0.117,2.63,3.8,1.14
"5G02",0.56,0.000632,96.6,0.662,0.406,3.8,6.31,9991,94,0.337,0.338,1.84,2.66,0.8,"T1",0.542,0.000829,136.7,0.684,0.432,4.27,8.28,9990,134,0.326,0.316,2.11,3.05,0.918
"5G03",0.333,0.00097,88.7,0.814,0.509,6.56,9.7,9999,87,0.25,0.186,2.27,3.28,0.987,"T1",0.214,0.00165,113.5,0.893,0.594,11.4,16.5,9999,112,0.248,0.107,2.8,4.04,1.22
"5P01",0.463,0.000882,95.7,0.757,0.481,5.43,8.8,9982,92,0.323,0.243,2.17,3.14,0.945,"T1",0.437,0.00108,123,0.782,0.497,6.2,10.7,9980,119,0.283,0.218,2.37,3.43,1.03
"5P02",0.292,0.00104,98.4,0.841,0.514,7.48,10.4,10000,96,0.34,0.159,2.34,3.38,1.02,"T1",0.28,0.00129,129.4,0.855,0.533,8.49,12.8,9982,120,0.322,0.145,2.55,3.68,1.11
"5P03",0.305,0.00115,116.5,0.847,0.514,7.91,11.4,9990,115,0.284,0.153,2.44,3.52,1.06,"T1",0.302,0.00142,157.3,0.856,0.525,8.83,14.1,9990,156,0.299,0.144,2.65,3.82,1.15
"5P04",0.168,0.00163,127.3,0.909,0.578,12.5,16.2,9996,124,0.368,0.0912,2.79,4.02,1.21,"T1",0.117,0.00247,175.9,0.935,0.625,18,24.7,9994,170,0.38,0.0653,3.21,4.63,1.39
