"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu1630",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
"Otu846",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales"
"Otu187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
"Otu1793",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae"
"Otu956",0,0,0,0,1,4,0,6,0,7,6,13,0,0,0,3,0,0,0,1,"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Ellin506; s__"
"Otu1785",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__"
"Otu466",0,1,0,0,0,0,0,2,130,106,76,194,25,20,28,86,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae"
"Otu884",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu515",0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__"
"Otu1173",0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__obscuriglobus"
"Otu575",0,0,0,0,0,0,0,0,15,19,16,9,3,1,2,18,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu3038",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__"
"Otu2081",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes"
"Otu1410",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__258ds10; f__; g__; s__"
"Otu1008",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Kaistia; s__"
"Otu1918",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__"
"Otu1901",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__"
"Otu989",0,0,0,0,0,0,0,0,0,8,2,5,2,0,4,2,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__Methylopila; s__"
"Otu285",0,0,0,0,0,0,1,1,35,36,61,75,7,2,2,20,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__"
"Otu1016",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu1081",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
"Otu2892",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria"
"Otu1922",1,0,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinosynnemataceae; g__Kibdelosporangium; s__"
"Otu393",0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga; s__"
"Otu2234",0,0,0,0,2,0,2,2,0,2,0,3,0,0,0,1,2,0,1,2,"k__Bacteria"
"Otu589",0,0,0,0,0,0,0,0,3,23,4,8,3,3,4,5,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__"
"Otu2292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria"
"Otu1273",0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria"
"Otu1809",0,0,0,1,2,2,3,2,0,0,0,1,0,0,0,0,0,1,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__"
"Otu2644",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__AK1AB1_02E; g__; s__"
"Otu1118",0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Promicromonosporaceae; g__Promicromonospora; s__"
