#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu156,3,2,1,0,1,1,1,2,115,294,257,531,13,1,13,67,11,5,15,13,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
Otu45,190,111,104,169,101,115,105,220,16,18,1,2,1,1,1,0,70,28,55,32,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
Otu351,0,0,0,0,0,0,0,0,238,264,140,336,79,50,38,179,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu265,0,0,0,0,0,0,0,0,94,227,214,158,173,112,102,241,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu59,126,86,57,93,0,0,0,0,0,0,0,0,0,0,0,0,310,89,383,176,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
Otu277,0,0,0,0,0,0,0,0,399,267,161,244,58,32,36,100,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu232,1,0,0,0,2,1,1,1,217,324,268,193,73,41,32,134,1,1,2,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
Otu116,0,0,0,0,0,0,0,0,291,238,217,234,66,20,42,170,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu298,0,0,0,0,0,0,0,0,242,181,234,233,105,38,39,202,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu70,222,143,125,242,45,34,59,107,0,0,0,0,0,0,0,0,87,38,75,91,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
Otu69,240,181,181,276,28,27,22,38,0,0,0,0,0,0,0,0,87,46,82,52,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu74,72,46,54,90,11,8,7,19,57,86,91,196,16,4,14,49,86,49,151,138,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
Otu106,318,204,223,351,0,0,0,0,0,0,0,0,0,0,0,0,70,27,32,11,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
Otu101,64,64,46,82,10,17,11,12,123,157,101,246,40,9,15,63,46,14,39,74,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
Otu86,0,0,0,0,58,50,72,124,84,275,159,157,56,17,33,99,1,6,6,27,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium; s__
Otu258,0,0,2,0,0,0,0,0,264,271,250,100,76,25,45,163,3,2,3,1,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu264,0,0,0,0,0,0,0,0,380,213,193,245,37,27,30,78,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu261,0,0,0,0,0,0,0,0,80,322,220,214,91,20,62,180,0,0,0,4,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu133,0,0,0,0,0,0,0,0,245,241,177,222,60,47,44,121,5,5,6,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__andropogonis
Otu262,0,0,0,0,0,0,0,0,319,232,219,170,84,21,25,102,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
Otu170,0,0,0,0,0,0,0,0,244,224,206,188,74,33,39,143,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu171,0,0,1,1,0,0,0,0,54,188,169,177,103,25,63,141,46,60,51,57,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
Otu403,0,0,0,0,1,0,0,0,123,215,191,136,106,43,55,262,0,1,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__
Otu75,245,149,222,318,0,0,0,0,0,0,0,0,0,0,0,0,85,24,47,27,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
Otu158,0,0,0,0,0,0,0,0,451,164,160,148,52,27,29,85,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu439,0,0,0,0,0,0,0,0,187,230,175,236,74,41,39,127,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu72,2,0,1,2,0,0,0,0,104,104,90,104,25,18,13,65,158,117,172,118,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu161,1,0,1,0,9,1,5,11,245,132,204,120,58,21,26,227,2,2,0,1,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
Otu210,0,0,0,0,0,0,0,0,154,152,155,249,85,56,51,153,1,0,1,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__andropogonis
Otu130,0,0,0,0,0,0,0,1,304,206,103,269,38,25,28,75,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
